year,race,r_vote,total_vote,r_pct,fed
16,pre,4684573,8561998,54.71354933743269,1.0
16,rrc,4648585,8010185,58.03342869109765,0.0
18,uss,4260232,8305503,51.29408778733811,1.0
18,gov,4655963,8202236,56.76455785958853,0.0
18,ltg,4260764,8121260,52.46432203869843,0.0
18,atg,4191029,8089068,51.81102445918368,0.0
18,com,4376584,7946935,55.072603462844484,0.0
18,lan,4434957,8002556,55.41925604769276,0.0
18,agr,4221301,8043087,52.48359243161239,0.0
18,rrc,4376500,7988287,54.7864642319436,0.0
20,pre,5890256,11149049,52.83191418389138,1.0
20,uss,5962862,10851304,54.95064924915936,1.0
20,rrc,5831164,10623329,54.890176139701595,0.0
